1	724	1	252	1	138	1	46	1	30	1	108	2	0.734694	3	0.464957	2	272	1	585	1	72	1	98	1
2	10	1	4	1	0	1	1	1	1	1	0	1	0	1	0.5	2	5	1	10	1	0	1	1	1
3	1393	2	627	2	160	1	67	2	48	1	5	1	0.756579	4	0.495295	2	579	2	1169	2	230	2	304	2
4	4	1	5	1	2	1	1	1	1	1	0	1	0.666667	3	0.166667	1	1	1	6	1	2	1	3	1
5	105	1	82	1	16	1	11	1	5	1	1	1	0.923077	4	0.396552	2	46	1	116	1	12	1	13	1
6	1304	2	253	1	210	1	64	1	25	1	145	3	0.913043	4	0.476876	2	464	2	973	2	231	2	253	2
7	330	1	145	1	72	1	59	1	19	1	0	1	0.605042	3	0.509881	3	129	1	253	1	72	1	119	1
8	854	2	258	1	352	2	100	2	20	1	116	2	0.728395	3	0.347534	2	310	2	892	2	118	1	162	1
9	371	1	346	1	31	1	24	1	73	1	0	1	0.544715	3	0.550725	3	152	1	276	1	67	1	123	1
10	2	1	1	1	0	1	0	1	0	1	0	1	0	1	0.333333	2	1	1	3	1	0	1	0	1
11	448	1	483	2	33	1	42	1	143	2	0	1	0.694915	3	0.565737	3	142	1	251	1	164	1	236	2
12	367	1	208	1	44	1	15	1	12	1	27	1	0.686567	3	0.432353	2	147	1	340	1	46	1	67	1
13	487	1	202	1	37	1	25	1	14	1	78	2	0.865854	4	0.435567	2	169	1	388	1	71	1	82	1
14	1943	3	454	2	222	1	88	2	30	1	59	1	0.830065	4	0.458056	2	688	3	1502	3	508	3	612	3
15	218	1	249	1	12	1	20	1	109	2	0	1	0.717391	3	0.477987	2	76	1	159	1	66	1	92	1
16	722	1	133	1	230	2	41	1	9	1	63	1	0.73913	3	0.410714	2	253	1	616	1	153	1	207	1
17	1072	2	403	1	276	2	126	2	40	1	136	3	0.649123	3	0.394394	2	394	2	999	2	148	1	228	2
18	142	1	162	1	42	1	30	1	24	1	0	1	0.46875	2	0.35443	2	56	1	158	1	30	1	64	1
19	439	1	130	1	225	2	36	1	6	1	7	1	0.844444	4	0.474667	2	178	1	375	1	76	1	90	1
20	845	2	331	1	234	2	106	2	21	1	105	2	0.688172	3	0.413514	2	306	2	740	2	128	1	186	1
21	143	1	110	1	15	1	14	1	14	1	0	1	0.566667	3	0.431507	2	63	1	146	1	17	1	30	1
22	161	1	29	1	91	1	17	1	0	1	22	1	0.925926	4	0.363057	2	57	1	157	1	25	1	27	1
23	508	1	97	1	193	1	45	1	5	1	70	2	0.778626	4	0.386207	2	168	1	435	1	102	1	131	1
24	125	1	41	1	10	1	5	1	9	1	10	1	0.678571	3	0.545455	3	48	1	88	1	19	1	28	1
25	14	1	23	1	7	1	8	1	2	1	0	1	0.333333	2	0.333333	2	6	1	18	1	2	1	6	1
26	109	1	23	1	26	1	12	1	2	1	7	1	0.827586	4	0.534247	3	39	1	73	1	24	1	29	1
